experiment,timestamp_utc,run_label,mode,cpu_gguf,cpu_q4_h128,cpu_threads,cpu_isa,teacher_forced,cpu_kv_cache,cpu_attention_kernel,cached_prefix_tokens,prefix_cache_restore_time_ms,prefix_cache_bytes,qwen35x_prefill_mode,qwen35x_prefill_kernel,qwen35x_weight_precision,qwen35x_cache_precision,qwen35x_decode_blocks_requested,prefill_only,run_index,prompt_name,prompt_tokens,generated_tokens,load_time_ms,prefill_time_ms,prefill_tokens_per_second,decode_time_ms,tokens_per_second,profile_json,qwen35x_profile_enabled,qwen35x_prefill_host_total_ms,qwen35x_prefill_gpu_total_ms,qwen35x_prefill_token_upload_ms,qwen35x_prefill_embed_ms,qwen35x_prefill_mark_seen_ms,qwen35x_prefill_final_norm_ms,qwen35x_prefill_lm_head_ms,qwen35x_prefill_lm_reduce_ms,qwen35x_prefill_hidden_handoff_ms,qwen35x_prefill_output_token_download_ms,qwen35x_prefill_deltanet_total_ms,qwen35x_prefill_deltanet_recurrence_ms,qwen35x_prefill_deltanet_flashqla_prepare_ms,qwen35x_prefill_deltanet_flashqla_consume_ms,qwen35x_prefill_deltanet_projection_ms,qwen35x_prefill_full_attention_total_ms,qwen35x_prefill_full_attention_attention_ms,qwen35x_prefill_full_attention_qk_ms,qwen35x_prefill_full_attention_softmax_ms,qwen35x_prefill_full_attention_pv_ms,qwen35x_prefill_full_attention_gate_ms,qwen35x_prefill_full_attention_qk_norm_rope_ms,qwen35x_prefill_full_attention_projection_ms,qwen35x_prefill_mlp_total_ms,qwen35x_decode_steps,qwen35x_decode_blocks,qwen35x_decode_max_safe_blocks,qwen35x_decode_host_total_ms,qwen35x_decode_seen_token_upload_ms,qwen35x_decode_launch_total_ms,qwen35x_decode_kernel_ms,qwen35x_decode_lm_head_ms,qwen35x_decode_output_token_download_ms
profile-overhead,2026-09-06T08:35:53.2945867Z,4-p512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,2,p512,512,0,572.5844,227.1672,2253.846506,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_2_1788683752402.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:54.1877145Z,4-p512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,3,p512,512,0,569.1667,233.4121,2193.545236,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_3_1788683753296.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:55.8642227Z,5-p512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,1,p512,512,0,570.235,228.08,2244.826377,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_1_1788683755035.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:56.6933826Z,5-p512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,2,p512,512,0,569.0623,228.763,2238.124172,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_2_1788683755865.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:57.5261411Z,5-p512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,3,p512,512,0,572.35,228.8102,2237.662482,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_3_1788683756695.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:59.1978199Z,6-p512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,1,p512,512,0,570.0432,229.0138,2235.673134,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_1_1788683758369.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:36:00.0315459Z,6-p512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,2,p512,512,0,569.8895,232.5752,2201.438502,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_2_1788683759199.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:36:00.9784442Z,6-p512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,3,p512,512,0,574.1145,257.1799,1990.824322,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_3_1788683760033.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:36:02.7879763Z,7-p512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,1,p512,512,0,584.9187,229.0629,2235.193914,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_1_1788683761883.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:36:03.6853868Z,7-p512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,2,p512,512,0,569.8566,227.4556,2250.988764,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_2_1788683762798.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:36:04.5741393Z,7-p512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,3,p512,512,0,570.3066,228.1195,2244.437674,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_3_1788683763687.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:38:56.9107664Z,0-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,571.4409,91.4876,1399.096708,1023.3774,125.076047,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_1_1788683935181.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:38:58.6897107Z,0-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,573.3075,106.2836,1204.325032,1035.8503,123.569979,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_2_1788683936932.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:00.3872775Z,0-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,571.6259,63.8499,2004.701652,1029.3755,124.347238,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_3_1788683938692.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:03.8004838Z,1-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,568.6194,64.4174,1987.040768,1029.3083,124.355356,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_1_1788683942109.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:05.4813786Z,1-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,569.4267,63.1051,2028.362208,1017.9599,125.741692,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_2_1788683943802.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:07.1589258Z,1-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,571.1821,63.1099,2028.207936,1013.1655,126.336714,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_3_1788683945483.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:10.6092650Z,2-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,572.4432,63.8187,2005.68172,1049.8115,121.926651,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_1_1788683948894.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:12.2858054Z,2-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,570.7062,63.1976,2025.393369,1011.1523,126.58825,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_2_1788683950611.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:13.9721091Z,2-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,572.7983,63.1171,2027.976571,1018.9434,125.620324,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_3_1788683952287.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:17.3461123Z,3-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,571.9019,63.2093,2025.01847,1019.2493,125.582622,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_1_1788683955662.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:19.0618651Z,3-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,569.6318,67.726,1889.968402,1032.7029,123.946587,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_2_1788683957348.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:20.7565653Z,3-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,571.5145,62.8902,2035.293257,1020.1176,125.475729,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_3_1788683959063.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:24.5288520Z,4-d512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,1,d512,512,128,573.6725,232.1361,2205.602662,1042.0031,122.840326,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_1_1788683962651.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:26.3998880Z,4-d512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,2,d512,512,128,569.1133,231.9521,2207.352294,1037.1483,123.41533,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_2_1788683964530.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:28.2822246Z,4-d512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,3,d512,512,128,573.6511,232.1047,2205.901044,1046.0285,122.367603,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_3_1788683966401.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:32.0441207Z,5-d512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,1,d512,512,128,569.5672,235.8219,2171.129993,1038.6347,123.238709,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_1_1788683970170.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:33.9237814Z,5-d512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,2,d512,512,128,570.2152,231.776,2209.029408,1046.8847,122.267524,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_2_1788683972046.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:35.8008643Z,5-d512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,3,d512,512,128,574.1937,233.121,2196.284333,1039.2609,123.164453,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_3_1788683973925.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:39.5601769Z,6-d512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,1,d512,512,128,572.5442,231.492,2211.739499,1035.4605,123.616497,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_1_1788683977692.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:41.4341709Z,6-d512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,2,d512,512,128,570.5649,232.3225,2203.833034,1040.6327,123.002093,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_2_1788683979561.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work524-delta4,2026-09-06T08:39:43.3082662Z,6-d512-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,False,3,d512,512,128,571.557,232.8178,2199.144567,1037.3354,123.39307,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\work524-delta4\profiles\run_cpu-h128_3_1788683981435.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
